2.69476	0.432943
3.10996	0.672159
3.02042	0.727873
3.18534	0.580712
2.99962	0.596144
2.91903	0.677777
2.79847	0.739947
3.05162	0.528415
2.92118	0.58984
2.94154	0.680594
2.79501	0.506734
3.03765	0.564493
2.88792	0.619388
2.80713	0.6869
2.99125	0.642107
3.94261	1.89854
4.74142	1.98948
4.9603	1.94381
5.32411	2.16121
5.46335	2.11733
5.61744	1.94629
5.59455	1.95551
5.61581	1.87777
5.3954	2.12432
5.25097	2.05757
5.36756	1.85463
5.34196	2.04003
5.36438	1.98536
5.35735	2.01662
5.40208	2.06434
5.41241	2.09656
5.43456	2.07946
5.45885	2.06754
5.49083	1.93257
5.42367	1.98554
5.45227	1.89672
6.25666	1.43583
6.81847	1.53745
6.90827	1.3759
7.00267	1.26069
6.99035	1.23293
6.86138	1.4126
6.84654	1.40201
6.93889	1.13512
6.78146	1.24724
6.6888	1.1829
6.47931	1.05727
5.57267	0.791325
5.99764	0.501201
6.34296	0.737373
6.66631	0.525785
6.98813	0.0205743
7.04103	-0.10961
6.95766	-0.061716
6.82745	0.105937
6.75459	0.202299
6.59281	0.42932
6.06744	0.856916
4.71199	1.23078
4.47876	1.35987
4.7434	1.48579
4.86124	1.63523
5.05601	1.62841
5.01185	1.73635
5.08923	1.79489
5.18262	1.77185
5.14613	1.85081
5.58992	1.57137
6.11616	1.60541
6.33895	1.5889
6.44672	1.43257
6.47344	1.31502
6.48259	1.23389
6.41922	1.10047
6.30531	0.954591
5.92714	0.798437
5.42465	0.629593
5.09879	0.384572
4.72419	0.35069
4.98562	0.343267
5.14715	0.40745
5.43855	0.421629
5.48109	0.725983
5.63735	0.905926
5.88928	0.890695
6.15502	0.873139
6.22608	1.0516
6.12237	1.2467
5.76332	1.4582
5.03258	1.79153
4.61476	1.84265
4.41252	1.99948
4.30727	1.99395
4.12049	1.86617
4.67389	1.09394
4.58757	0.955986
4.33313	0.685739
4.82219	-0.308775
4.8598	0.0497067
4.81301	-0.16008
4.69305	-0.270805
3.65013	0.491431
3.27951	0.450913
3.23471	0.760288
3.42647	0.947366
4.51622	1.98189
4.8342	2.17661
5.07021	1.91249
6.47571	0.497961
6.51619	0.909319
5.86481	1.57694
5.47478	1.86423
5.11747	1.85742
4.5296	1.95489
4.14635	1.71315
3.8561	1.31986
3.81103	1.22177
3.8408	0.650026
3.75669	0.129871
3.90431	-0.061434
3.92965	-0.427649
4.26778	-0.860971
4.46555	-0.939898
4.78421	-1.44411
4.86095	-1.05874
4.6958	-0.736689
4.33739	-0.652233
4.32836	-0.0954881
3.97275	0.00198284
3.45437	0.454554
3.10397	0.628334
3.09744	0.356574
3.03259	0.599912
2.91639	0.616412
3.02824	0.724477
3.26352	0.66011
3.53056	0.638384
3.7076	1.10471
4.68151	1.26724
6.14462	1.23951
4.48668	1.29105
3.51557	1.43223
5.56512	0.172444
6.22282	0.712942
6.59259	1.12405
6.65281	1.05824
6.63772	1.12967
6.58273	1.20747
6.50903	1.29319
6.47662	1.2757
6.51911	1.07548
6.49187	1.10217
6.28318	1.45421
6.25592	1.53466
6.15677	1.75568
5.95238	1.91288
5.82035	1.96277
5.98413	1.9476
5.85847	2.0621
5.67607	2.05719
4.6771	1.8473
3.62427	1.77833
3.64322	1.59751
3.50051	1.66447
3.56752	1.63365
3.49203	1.61076
3.33024	1.43833
3.65971	0.895637
4.4564	0.248509
3.57432	0.933187
3.64204	1.09411
3.51028	1.26647
3.55901	1.07337
3.70423	1.11371
3.96458	1.6182
4.22636	1.85093
4.62695	1.81553
5.11487	1.81566
4.94976	1.99226
4.76919	1.5296
4.73526	1.96819
5.85943	2.17528
4.8709	1.66733
4.6339	1.39411
3.90034	1.60466
4.12382	2.1988
3.8438	1.9357
3.7968	1.92144
